Time,Wave Probe 1 mm,Wave Probe 2 mm,Wave Probe 3 mm,Wave Probe 4 mm,Wave Probe 5 mm,Wave Probe 6 mm
Seconds,mm,mm,mm,mm,mm,mm
0,1.25515591,1.038676411,-4.95852129,-14.64214811,-17.61842873,5.710872629
0.01,3.97359277,-0.070373709,-10.53711035,-14.83393776,-21.83779523,0.657598626
0.02,3.298152676,1.897565145,-3.632666771,-18.14439215,-20.54530211,-0.451452047
0.03,3.423234162,-0.879229544,-3.365828054,-17.24381547,-22.66332284,8.370933115
0.04,4.840824752,0.855224482,2.596355869,-14.5587613,-15.05011602,1.341374444
0.05,5.266102079,2.189420599,-5.975843227,-17.71078119,-9.396485271,-6.513698964
0.06,9.719010057,1.697435709,-6.95981002,-20.4625421,-19.66974197,-8.456617282
0.07,2.297501002,6.342110038,-7.868728216,-20.55426743,-13.657556,-12.50088533
0.08,4.774114589,4.207393416,-7.051535722,-14.775567,-10.01354871,-13.12628713
0.09,-1.104711878,-0.112067315,-9.736595954,-18.89487253,-15.11682547,-9.190423016
0.1,-0.28751408,2.623034471,-12.77187863,-14.56709998,-6.161069504,-13.02622285
0.11,14.53049432,4.24074835,-9.836660265,-21.2713926,-0.765922535,-4.854295622
0.12,-0.754484281,4.615991393,-7.701954255,-9.205323531,-4.901924801,-13.77670487
0.13,-3.055979095,3.290132866,-8.936081347,-13.34131364,-3.100763239,0.440791693
0.14,-4.006595952,2.231114238,-9.669886411,-14.9006472,12.9679831,-14.1602845
0.15,-2.347185609,2.114372051,-0.747471865,-11.39839961,11.82557302,-9.88253508
0.16,-1.27982566,2.314501517,-7.218309718,-13.40802311,8.74857311,-10.63301786
0.17,-1.379890673,3.331826521,-6.117601175,-11.54849602,9.23222056,-13.39312519
0.18,-3.606336263,4.482571639,-6.426133155,-11.55683471,19.22206166,-14.13526844
0.19,-3.239431496,6.000221719,-7.618567271,-3.118069869,13.51834141,-14.46047722
0.2,-2.130378154,13.64685605,1.945935207,-12.37402612,16.35352243,-14.652267
0.21,-1.546665687,5.124654264,-1.331182046,-7.329116519,18.37150609,-10.19940561
0.22,7.834445064,4.624330128,-2.106682535,-2.167456533,14.61905838,-12.25072457
0.23,-1.613375689,6.575594768,16.01340074,-6.345149712,19.44720877,-18.20454516
0.24,-1.555004437,5.533252376,5.798428997,-5.319489055,10.07443443,-16.887034
0.25,-1.038001863,4.649346333,-0.56402007,-2.367585682,9.782578108,-22.57400874
0.26,-1.580020688,5.70836587,9.742654339,3.052583649,7.672874778,-16.42840658
0.27,-1.871876934,4.349151891,5.248072418,2.719034471,9.348963061,-22.50729942
0.28,-1.605036939,5.28309026,5.614976792,12.5670908,1.252048447,-23.68305106
0.29,-1.529988186,3.523617341,4.714393416,10.03210933,7.014113992,-23.44122984
0.3,2.647729045,2.606357014,7.257708329,5.812704609,4.712621847,-21.28151535
0.31,2.606035228,6.533901065,3.722084289,12.25855674,-0.098824846,-22.59068607
0.32,2.180758331,3.265116673,4.130682122,0.484255988,-0.265599283,-23.2661179
0.33,3.373201567,6.24204516,2.654726961,2.227049506,-5.168763458,-15.87805357
0.34,4.824147211,3.548633536,3.40521254,10.47406316,-5.969279285,-17.21224251
0.35,8.534902686,0.838547035,1.278837246,-0.758213388,-1.357971605,-14.652267
0.36,3.631703318,-2.430230825,3.630358253,2.160339687,-8.887824772,-14.46047722
