Time,Wave Probe 1 mm,Wave Probe 2 mm,Wave Probe 3 mm,Wave Probe 4 mm,Wave Probe 5 mm,Wave Probe 6 mm
Seconds,mm,mm,mm,mm,mm,mm
0,-0.787839292,-2.605343821,7.366111967,7.939083647,-18.56903747,-10.50793741
0.01,-0.754484281,-1.246133147,3.997262415,10.56578944,-0.64084173,-3.570133601
0.02,-1.021324359,-1.69642387,5.831783944,7.0218219,-19.03600306,-4.212214682
0.03,0.429618886,-2.471924396,5.114652658,3.71134339,-19.73645132,-6.313569967
0.04,1.446947376,-0.654084128,5.481557014,4.945475978,-15.58379156,-3.219907497
0.05,5.090987877,-2.513617967,4.247424371,6.905079518,-16.29257925,0.507501517
0.06,3.97359277,-2.221762958,4.572634947,2.944180162,-16.07577362,0.991147785
0.07,3.598348252,-0.62906797,3.213421762,3.79473071,-14.77493954,6.144487328
0.08,3.623364552,-1.421246214,-2.498602059,0.801127458,-19.25280849,0.123920053
0.09,7.167342744,0.413272155,-2.973908645,2.552259897,-20.3701901,3.943059561
0.1,3.314830207,-0.16209964,-2.965569934,1.801774435,-20.44523811,5.635823938
0.11,3.931898932,1.288838152,-5.208682454,1.209724931,-17.45165524,5.694195142
0.12,5.241085763,1.830855331,-6.709649002,2.860792867,-19.35287253,13.54930291
0.13,7.3758122,0.896918101,-0.130406689,4.069908884,-8.103987117,7.120120651
0.14,3.656719618,0.438288323,-1.531311224,1.526596481,-11.00585318,8.554385658
0.15,3.631703318,1.664080804,-7.126584021,-1.025052379,-15.14184151,9.01301707
0.16,3.698413452,4.449216701,-6.743003805,0.592659382,-7.720406915,7.562074323
0.17,2.447598729,5.725043347,-8.544162662,-0.049422199,-13.59918521,8.287545599
0.18,5.966559004,5.057944374,-8.494130486,0.467578543,-16.06743494,4.968724553
0.19,3.306491441,1.105386207,-4.624973039,4.586910373,-12.73196187,3.292638056
0.2,4.60733919,2.122710778,-7.4267772,3.177664601,-13.19058963,11.13106134
0.21,1.080041974,5.658333442,-8.260646987,6.129576675,-4.526682899,1.900069442
0.22,1.113397009,1.614048447,-8.510807878,3.961505358,-5.552343985,-0.643242721
0.23,1.146752044,5.641655966,-7.67693816,2.48555007,-4.434957094,-3.086488018
0.24,2.764471736,3.982247617,-6.217665604,1.935194058,1.777388233,3.576155103
0.25,4.557306572,0.58004661,-8.836017007,0.801127458,10.82492226,-0.226306457
0.26,1.030009423,-3.514263491,-1.372875626,6.104560458,10.93332607,-10.07432514
0.27,0.938283083,-9.568161768,-3.424199026,3.803069442,4.404088624,-10.49126002
0.28,7.058938634,-7.84205151,-7.835373424,0.801127458,14.21879761,-2.386035652
0.29,7.042261078,-5.348779406,-5.242037274,0.392530043,13.39325997,-3.620165898
0.3,1.246817151,-8.342373424,-2.615344034,-1.45032697,8.74857311,-10.94154962
0.31,2.797826791,-11.36098058,-8.627549621,0.15070711,11.68381414,-8.173101383
0.32,6.091640617,-7.45847132,-6.426133155,-2.909602059,10.51638835,-20.08074684
0.33,4.165384434,-5.065263384,-3.215731265,-2.642763239,10.84993852,-14.04354288
0.34,1.37189854,-6.040891936,-1.372875626,-0.916649041,7.072485195,-13.24302879
0.35,0.346231322,-6.466165821,-4.474876314,0.042303733,4.253991393,-15.80300543
