Time,Wave Probe 1 mm,Wave Probe 2 mm,Wave Probe 3 mm,Wave Probe 4 mm,Wave Probe 5 mm,Wave Probe 6 mm
Seconds,mm,mm,mm,mm,mm,mm
0,0.304537541,0.021352224,0.078061305,-0.032744757,0.101304491,0.257339687
0.01,0.204472469,-0.012002661,0.036367705,0.067319896,-0.057131235,0.282355869
0.02,0.204472469,-0.178777082,0.111416186,-0.049422199,-0.007098902,0.090565145
0.03,0.104407401,-0.037018825,-0.005325895,0.008948848,-0.148857178,0.073887692
0.04,0.079391134,0.038029667,0.119754906,-0.007728594,-0.107163568,0.057210238
0.05,0.196133713,0.004674782,0.003012825,-0.06609964,-0.132179734,0.21564605
0.06,0.204472469,0.038029667,0.061383865,0.033965012,0.092965768,0.090565145
0.07,0.146101179,0.038029667,0.078061305,-0.107793244,-0.023776346,0.282355869
0.08,0.171117446,0.046368388,0.086400025,-0.049422199,0.126320659,0.223984778
0.09,0.254505004,0.079723274,0.053045145,-0.024406036,0.067949601,0.140597507
0.1,0.237827492,0.05470711,0.044706425,-0.016067315,-0.140518456,0.115581326
0.11,0.146101179,0.071384553,0.119754906,0.025626291,-0.148857178,0.040532785
0.12,0.062713624,0.121416882,0.044706425,-0.049422199,-0.148857178,0.023855331
0.13,0.054374868,0.05470711,0.119754906,0.033965012,-0.1571959,0.082226419
0.14,0.154439934,0.063045831,0.069722585,-0.007728594,0.092965768,0.107242599
0.15,0.246166248,0.05470711,0.22815827,0.01728757,-0.11550229,0.098903872
0.16,0.287860029,0.088061996,0.044706425,0.01728757,0.026255988,0.082226419
0.17,0.321215053,0.038029667,0.144771067,-0.107793244,-0.148857178,0.057210238
0.18,0.196133713,-0.020341382,0.061383865,0.01728757,-0.107163568,0.107242599
0.19,0.154439934,-0.078712431,0.119754906,-0.024406036,0.042933433,0.107242599
0.2,0.104407401,-0.045357546,0.078061305,-0.007728594,-0.140518456,0.082226419
0.21,0.071052379,-0.020341382,0.128093626,-0.016067315,-0.065469957,0.148936234
0.22,0.054374868,0.046368388,0.078061305,-0.041083478,-0.082147402,0.107242599
0.23,0.112746156,-0.078712431,0.094738745,0.09233606,0.076288323,0.107242599
0.24,0.26284376,-0.062034988,0.144771067,0.008948848,-0.007098902,0.007177878
0.25,0.312876297,-0.187115803,0.078061305,0.100674782,-0.098824846,0.198968596
0.26,0.246166248,-0.020341382,0.21981955,0.000610127,-0.190550787,0.082226419
0.27,0.16277869,-0.103728594,0.078061305,-0.007728594,-0.007098902,0.21564605
0.28,0.104407401,-0.187115803,0.128093626,0.050642454,-0.140518456,0.098903872
0.29,0.171117446,-0.062034988,0.003012825,-0.049422199,-0.07380868,0.240662232
0.3,0.104407401,-0.037018825,0.153109787,0.008948848,0.076288323,0.073887692
0.31,0.154439934,-0.012002661,0.053045145,-0.032744757,0.109643214,0.307372051
0.32,0.179456202,-0.037018825,0.119754906,-0.016067315,-0.032115069,0.182291142
0.33,0.279521272,-0.087051152,0.044706425,-0.06609964,-0.132179734,0.240662232
