Time,Wave Probe 1 mm,Wave Probe 2 mm,Wave Probe 3 mm,Wave Probe 4 mm,Wave Probe 5 mm,Wave Probe 6 mm
Seconds,mm,mm,mm,mm,mm,mm
0,11.28670236,-6.35776268,-4.149666716,12.30858929,26.46847318,30.18519933
0.01,11.47015577,-2.488601825,-1.931569539,2.894147785,25.18429746,29.62649823
0.02,13.60488744,-0.804181074,-2.648698884,4.144957481,21.13164334,28.48407996
0.03,19.29195505,1.972613688,-7.093229222,-7.20403601,23.68331368,26.34934363
0.04,20.13417587,4.891169656,-7.893744309,-1.133455712,25.60123755,25.85735389
0.05,15.23929261,8.401779588,-7.785341236,0.050642454,12.75951407,33.95435049
0.06,19.64218545,16.05675951,-0.839197758,-26.40800572,-11.25601392,27.00810972
0.07,19.40869851,9.64425306,-7.151600121,-32.84543882,17.10401204,25.94074197
0.08,24.82893701,7.826406158,-4.549924677,-25.07382123,-8.137341915,17.77706166
0.09,27.263879,20.40960117,6.190349656,-22.98081828,-3.250860078,24.48978968
0.1,25.18750708,12.24594432,-5.225359864,-12.55747722,-1.491391097,15.51725287
0.11,18.75827072,11.3453586,-8.994452211,-41.25911367,-16.31759528,23.93942869
0.12,17.50744853,24.62902949,0.261513153,-45.69525608,-19.14440578,61.14746264
0.13,17.69090241,21.05168763,-10.24525617,-53.73366752,-14.08282889,20.26201976
0.14,14.66391516,19.35891457,1.062030442,-45.72861051,-18.63574684,20.30371371
0.15,10.94481193,21.31019002,-2.298472947,-37.36497707,-31.04366763,20.17029308
0.16,13.13791473,21.95227671,-4.700021398,-40.60870141,-12.82368743,1.499810328
0.17,7.500893882,18.72516732,-1.064343121,-49.50599865,-17.35159114,4.518432558
0.18,3.022973428,18.94197557,-3.807779666,-52.01591696,-33.20337518,1.950101836
0.19,-2.005296921,21.91892155,5.598299319,-33.57923876,-30.4266081,11.84819481
0.2,-2.08868441,18.03304878,4.580973681,-47.89664827,-23.92246051,4.334980286
0.21,0.387925103,16.04842074,6.398818115,-40.75879655,-30.35989895,5.961034947
0.22,-1.63839194,13.82197007,5.865138892,-47.52141104,-21.07063809,3.167557014
0.23,-8.184303017,14.71421786,6.899142479,-46.1121865,-33.54525927,40.15845331
0.24,-10.05217802,11.96242656,9.56754062,-42.97686864,-7.37018147,-13.01788416
0.25,-7.734011537,-5.215360105,11.44375962,-36.16421467,-30.98529714,-30.35397474
0.26,-7.708995342,12.02079787,13.77861177,-58.21148996,-26.3823639,-12.12564419
0.27,-11.05282485,-0.437277415,10.86838566,-21.56324583,-28.89229744,9.77184376
0.28,-15.38061838,5.258074049,17.94799572,-14.05010172,-24.03086307,-45.98890422
0.29,-12.07014876,-6.682972092,14.70421443,-22.57222393,-25.59853047,-20.73116317
0.3,17.96608326,0.2048041,22.50930944,-8.26305082,-21.29578205,37.80689624
0.31,-11.54480941,-7.558535722,20.28285365,-1.391955951,-17.32657512,-22.20710744
0.32,-16.84823094,-9.167904404,23.55165834,-6.336811009,-16.65948104,-16.69524436
0.33,-16.91494058,-11.36931927,24.43557054,-13.08281441,-21.49591,-53.05170282
0.34,-14.53006987,-6.057569344,22.99295928,-4.352199007,-21.70437661,-42.54505588
0.35,-16.77318258,-12.419994,24.63570165,-3.243150549,-6.319504893,-45.81379336
0.36,-14.50505373,-15.63038683,17.92297939,1.117998963,-9.930161768,-45.98056561
0.37,-11.0361474,-12.68683197,14.65418185,3.41948779,-12.39841437,-40.46873909
0.38,-12.82063339,-17.16470331,19.04871419,3.978182823,-12.63189763,-41.57777591
0.39,-6.891799502,-7.867067608,15.53809099,9.865334313,-4.626747411,-39.39305646
0.4,0.846556745,-15.06335664,15.77991524,10.91601707,3.111584952,-42.27822005
0.41,1.155090802,-3.864489344,19.5573797,12.80891482,-3.2008278,-16.92038872
0.42,0.879911776,-3.872828054,9.767670585,15.88591888,6.288643436,-28.04416887
0.43,4.148706897,-10.43538588,-12.60510493,18.6710693,5.763302807,-18.53809221
0.44,12.31237391,-9.251291359,4.264101836,19.25478384,3.144939878,-29.89534914
0.45,17.38236635,-3.038956909,5.148007598,19.42155945,6.363692105,-23.94988826
0.46,9.018552109,-9.059501358,-15.66540089,21.05596098,8.231570758,-20.58940578
0.47,16.34835389,-4.348134502,-14.5313406,26.21767481,14.43560552,-21.07304863
0.48,14.24697506,-4.523247384,-16.62434862,25.00020984,14.08537737,-13.2346901
0.49,15.13922696,-2.863843939,-19.51786744,27.28504185,11.40863516,-25.3090899
0.5,20.43437346,-0.862552106,-9.761612032,32.73862764,13.3182111,-23.19940859
0.51,16.08985084,4.390845561,-20.73531264,28.43579746,16.93723655,-13.09293237
0.52,19.62550781,3.315149059,-21.97777339,30.87907024,19.48890269,5.168854351
0.53,16.84868244,5.975205503,-6.717987702,30.57053395,17.67938755,30.76057821
0.54,16.9737646,7.642953785,-20.87706993,29.6866194,23.18298596,-13.15964189
0.55,13.88840663,31.50854762,-21.86937079,31.61288644,28.06118557,-10.44122784
0.56,15.11421055,11.13688973,-24.354291,37.57515149,27.40241959,4.243254154
0.57,15.58952244,12.85467373,-26.93927321,34.70659131,23.80839563,-8.740133155
0.58,13.22130271,11.78731267,-24.40432293,32.65523939,22.79106265,27.64185955
0.59,19.93404416,11.77897391,-26.78083887,32.91374299,27.1105613,3.075830921
0.6,6.808775319,16.79891015,-22.9950899,33.16390779,23.8917836,-0.142919196
0.61,5.841477396,22.41924895,-23.73723044,30.43711287,28.16125131,17.90214339
0.62,5.132681733,20.40960117,-15.26514436,28.85273804,24.90077823,13.83282104
0.63,13.93843943,24.76245026,-17.56661871,29.01951429,23.4498274,21.51283852
0.64,2.547663885,24.12036285,-18.13364838,24.38313879,20.45620162,21.11257645
0.65,3.306491441,24.15371804,-20.71029665,27.73533746,21.93216709,3.300976792
0.66,10.97816709,22.18576282,-14.88156515,26.01754354,19.06362482,18.51921333
0.67,2.505970069,22.43592653,-17.06629834,15.64409458,16.35352243,30.80227234
0.68,-1.004646855,21.50198213,-2.440231069,18.87953877,23.29972909,27.69189243
0.69,0.037697357,19.71748217,-12.16315459,12.7505435,12.54270629,39.87493212
0.7,-0.896243076,16.20685737,-9.086177852,14.17647174,11.76720171,38.93264134
0.71,16.7319391,15.90666165,-4.8334407,9.873673064,14.64407468,28.3089648
0.72,9.118617518,-0.529003334,7.541225545,2.477211342,13.86856949,29.3763336
0.73,-2.313830617,-4.564940926,4.881168093,7.864034947,8.515088165,43.50233832
0.74,0.204472469,-1.929907921,9.108909505,0.384191321,-13.50745967,28.76759977
0.75,-0.062367705,-10.46040196,16.91398788,-8.654969593,-19.94491804,34.17116026
0.76,1.755481503,-10.44372457,20.94161752,2.518904984,-8.070632319,50.78218528
0.77,0.571377751,-17.24809006,29.71403394,-10.05587033,-30.00133728,36.53105246
0.78,8.459853646,-17.43987956,17.83959165,-7.604293619,-24.87306745,28.56746814
0.79,2.038999381,-6.874762242,19.90760848,-13.73323177,-29.34258433,16.62631008
0.8,0.004342336,-14.53801976,20.37458025,-5.961569344,-17.90194365,17.99386999
0.81,6.583628356,-17.72339446,25.40287104,-11.63188291,-22.7800641,31.28592427
0.82,7.434183651,-13.57907126,31.28173142,-22.03021094,-32.08599769,31.5944609
0.83,18.78328717,-12.85360569,28.93018557,-40.45860625,-23.13862652,24.26464199
0.84,16.08151203,-12.79523488,31.19834323,-40.40023591,-25.76530356,27.62518192
0.85,9.518879195,-18.44885894,29.34712616,-38.99100889,-31.46893833,25.46542992
0.86,14.4471063,-23.08515694,33.76670082,-42.01792785,-21.39584603,24.62321055
0.87,14.09687664,-18.34045621,32.99952878,-40.96726203,-28.82558827,35.81391182
0.88,14.32202427,-20.6085741,30.28941215,-45.08653757,-17.91862099,27.02478735
0.89,13.84671263,-15.10505004,29.76406682,-44.81970204,-24.73964895,28.63417868
0.9,12.71263609,-16.4892706,26.51193157,-44.8697337,-23.55555951,15.49223655
0.91,14.12189304,-18.48221363,25.69472903,-41.34249985,-21.47089401,-30.00375156
0.92,11.71198075,-12.7868962,23.83517731,-43.71900527,-23.36377034,-17.10383968
0.93,14.08019904,-5.865779142,22.05901486,-41.93454169,-26.94105358,-13.86009175
0.94,17.87435631,-8.334034726,24.55231368,-40.49196073,-21.97121385,-3.278278517
0.95,10.83640766,-13.46232969,21.77549608,-42.25974772,-23.74734868,7.82891431
0.96,9.719010057,-13.49568442,15.10447514,-43.00188448,-20.37852877,-6.53037638
0.97,-2.680735508,-2.080004801,13.80362805,-40.75045793,-12.14825373,-40.1935645
0.98,-0.746145528,-3.322473125,6.94083618,-39.22449032,-8.087309718,-34.05633193
0.99,2.906230725,9.57754306,12.69457302,-36.53945296,-3.75952153,-32.79719736
1,3.106361076,1.113724931,-10.35365915,-33.87109097,-11.49783595,54.52635438
1.01,3.548315654,10.7783233,-13.65577908,-37.031432,-15.8506293,-31.98001046
1.02,5.049294021,6.675659659,-15.32351511,-27.16682292,-4.876908676,-31.19617794
1.03,-1.388229424,23.88687656,-19.01754736,-32.74537518,-12.18994717,-9.031987702
1.04,5.090987877,12.33767066,-18.75070996,-27.40030511,-6.336182302,-29.14487077
1.05,-4.431871808,10.52816071,-18.82575798,-26.77490637,-2.000052854,-29.06148427
1.06,-4.231742002,14.1805369,-22.80330074,-21.74669641,-0.140518456,-42.96198683
1.07,-2.980930382,19.90927416,-16.00728663,-17.45228232,1.093612658,-19.42199171
1.08,-3.239431496,15.83995149,-24.7795624,-17.77749057,2.144292269,-24.29177339
1.09,-3.848159832,20.49298901,-23.59547327,-12.03213994,4.837702893,-36.61629293
1.1,-4.014934695,21.75214577,-22.4197224,6.379738859,7.52277737,-20.10576286
1.11,5.716395794,24.69573987,-21.40240572,1.651677366,13.91860208,-23.55797112
1.12,7.334118308,32.21734757,-17.25808783,1.685032269,18.38818365,24.61487174
1.13,8.97685819,28.75673804,-25.87192595,4.478506827,16.80381617,-16.8453406
1.14,1.030009423,25.57965266,-18.85911265,8.781296974,20.98988395,-26.57656579
1.15,5.716395794,26.38851653,-26.63074318,16.63640822,15.61971058,-3.436714138
1.16,14.4554451,24.19541202,-22.19457857,11.93334521,18.7300736,0.040532785
1.17,13.62990384,21.29351244,-23.91234223,17.57035081,20.91483487,15.94253039
1.18,15.03916131,19.7508373,-24.13748595,18.9045551,23.39979463,-5.863279675
1.19,6.992228414,27.7727584,-17.41652261,31.51282058,23.22467993,-3.161536476
1.2,19.67554073,25.68805708,-20.37675006,35.273632,28.51982022,-8.906907186
1.21,17.1989125,12.39604197,-14.9816293,32.93042064,25.69296439,-4.996053733
1.22,15.13922696,15.13115619,-8.377388739,28.60257368,28.69493529,10.07203899
1.23,18.383024,20.91826705,-7.468470695,33.45576676,29.0034714,14.31646967
1.24,19.33364914,11.99578159,-15.70709428,35.2486155,28.85337275,-4.804263346
1.25,17.97442207,4.349151891,-13.8308914,34.00612948,42.21219011,34.94667227
1.26,19.40035969,5.049605638,-6.16763339,34.08951778,32.29730529,36.06407713
1.27,15.94809111,0.296530043,-7.226648418,33.53915504,28.99513259,18.55256846
1.28,18.6498661,2.014307323,3.638696983,32.2549758,31.05482058,24.03949432
1.29,14.18860345,7.326081534,-0.480632886,29.87007334,28.81167868,14.48324508
1.3,8.484869993,-2.42189211,1.237143628,29.73665229,26.74365378,25.07350602
1.31,7.98454311,0.855224482,1.56235386,27.29338066,24.95914983,23.53082743
1.32,5.499587699,-7.224987702,8.433471093,21.94821124,29.26197466,31.15250304
1.33,3.90688263,-5.265392344,14.03711338,19.73009435,25.57622115,30.52709111
1.34,0.412941373,-10.83564308,24.35218258,21.86482335,19.79743765,28.89268205
1.35,4.098674289,-13.16213704,14.21222739,16.99497543,24.00852676,25.74894938
1.36,1.063364457,-12.17817207,16.68884106,11.02442087,19.93919697,25.34868662
1.37,-1.471616932,-16.11403015,17.40597543,14.15145544,20.1893605,25.50712396
1.38,-3.631352495,-18.40716559,22.17575789,13.86793749,8.006424603,22.80535189
1.39,0.412941373,-12.89529911,16.86395525,10.93269458,11.15847247,14.78344085
1.4,1.021670665,-12.88696043,20.14109435,8.331004668,1.268725899,13.17405838
1.41,-8.150948095,-9.001130486,20.52467834,2.98587381,21.80708524,21.2876911
1.42,-7.108606585,-15.01332456,21.76715729,1.651677366,-9.071276109,-4.362311537
1.43,-13.63782754,-12.33660713,21.71712457,-4.577344132,-40.33290282,37.60676383
1.44,-7.300397451,-15.48029062,20.76650305,-9.322065263,-40.31622558,14.14969427
1.45,-5.949522371,-17.69003977,23.3682049,-11.94041437,-25.67357836,34.94667227
1.46,-11.56148685,-15.0383406,20.93327873,-17.96928004,-15.54209816,28.51743523
